"front","back","tags"
"compmem,seq: shared read-write mechanism (...) and (...) each intermediate record","passes, rejects","computer-memory method-of-accessing sequential-access"
"compmem,seq: most similar data structure?","linked list","computer-memory method-of-accessing sequential-access"
"compmem,dir: describe the address of individual blocks/records","a unique address based on physical location","computer-memory method-of-accessing direct-access"
"compmem,dir: shared read-write mechanism first goes to a (...)","general vicinity","computer-memory method-of-accessing direct-access"
"compmem,dir: shared read-write mechanism does (...) in general vicinity to reach desired location","sequential searching, counting, or waiting","computer-memory method-of-accessing direct-access"
"compmem,dir: the time to access a record is (...)","variable","computer-memory method-of-accessing direct-access"
"compmem,dir: most similar data structure?","dictionary of linked lists","computer-memory method-of-accessing direct-access"
"compmem,ran: each addressable location in memory has?","a unique, physically wired-in addressing mechanism","computer-memory method-of-accessing random-access"
"compmem,ran: the time to access a record is (...)","constant and independent of the sequence of prior accesses","computer-memory method-of-accessing random-access"
"compmem,ran: most similar data structure?","dictionary","computer-memory method-of-accessing random-access"
"compmem,asso: is also a (...) access type of memory","random","computer-memory method-of-accessing associative"
"compmem,asso: compares (...) for a specific match","desired bit locations within a word","computer-memory method-of-accessing associative"
"compmem,asso: does comparison for all words (...)","simultaneously","computer-memory method-of-accessing associative"
"compmem: most important characteristics from a user’s point of view?","capacity and performance","computer-memory capacity performance"
"compmem: performance is measured with what parameters?","access time, memory cycle time, transfer rate (AT,MCT,TR)","computer-memory performance"
"compmem,perf: other word for access time","latency","computer-memory performance access-time"
"compmem,perf: other word for latency","access time","computer-memory performance access-time"
"compmem,perf: definition of access time for random access memory","the time from [instant that an address is presented to memory] TO [instant the data has been stored or made available for use]","computer-memory performance access-time"
"compmem,perf: definition of access time for non random access memory","the time it takes to position the read-write mechanism at the desired location","computer-memory performance access-time"
"compmem,perf: memory cycle time consists of (...) plus (...)","access time, additional time required before a second access can happen","computer-memory performance memory-cycle-time"
"compmem,perf,memcycl: additional time may be required if?","data is read destructively","computer-memory performance memory-cycle-time"
"compmem,perf,memcycl: primarily applies to?","random access memory","computer-memory performance memory-cycle-time"
"compmem,perf,memcycl: concerned with (...), not (...)","the system bus, the processor","computer-memory performance memory-cycle-time"
"compmem,perf: definition of transfer rate","the rate at which data can be read from or written to a memory unit","computer-memory performance transfer-rate"
"compmem,perf,trrate: for random access memory, this is equal to?","reciprocal of memory cycle time","computer-memory performance transfer-rate"
"compmem,perf,ttrate: for non random access memory, what equation can be applied?","T_n = T_A + (n/R)","computer-memory performance transfer-rate"
"compmem,phtype: examples of physical types given in the slides?","semiconductor memory, magnetic surface memory, optical, and magneto-optical","computer-memory physical-type"
"compmem,phtype: RAM belongs to?","semiconductor memory","computer-memory physical-type"
"compmem,phtype: solid-state belongs to?","semiconductor memory","computer-memory physical-type"
"compmem,phtype: disks belongs to?","magnetic surface memory","computer-memory physical-type"
"compmem,phtype: tapes belongs to?","magnetic surface memory","computer-memory physical-type"
"compmem,phtype: Blu-ray belongs to?","optical","computer-memory physical-type"
"compmem,phtype: Sony MiniDiscs belongs to?","Magneto-optical","computer-memory physical-type"
"compmem,phchar: this determines?","what happens to the data in memory","computer-memory physical-characteristics"
"compmem,phchar: in volatile memory, what happens to data?","data decays naturally or is lost when electrical power is switched off","computer-memory physical-characteristics"
"compmem,phchar: in nonvolatile memory, what happens to data?","data remains without deterioration until deliberately changed (does not need electrical power for data)","computer-memory physical-characteristics"
"compmem,phchar: in nonerasable memory, what happens to data?","data cannot be altered except by destroying the storage unit","computer-memory physical-characteristics"
"compmem,phchar: semiconductor memory can be (...) or (...)","volatile, nonvolatile","computer-memory physical-characteristics"
"compmem,phchar: nonvolatile semiconductor memory is known as?","read-only memory (ROM)","computer-memory physical-characteristics"
"compmem,phchar: magnetic-surface memory is?","nonvolatile","computer-memory physical-characteristics"
"compmem,phchar: nonerasable memory is?","nonvolatile","computer-memory physical-characteristics"
"compmem: organization refers to?","physical arrangement of bits to form words","computer-memory organization"
"compmem: organization is a key design issue for (...) memory","random-access","computer-memory organization"
